nombre,gender,region_id,region_name,percentage,unidad,persons,region_type,parent_region_name
MANUEL,Male,7,Badajoz,47.417,‰,15597.0,provincia,Badajoz
MANUEL,Male,8,"Balears, Illes",12.569,‰,,provincia,"Balears, Illes"
MANUEL,Male,9,Barcelona,16.568,‰,47562.0,provincia,Barcelona
MANUEL,Male,10,Burgos,9.276,‰,1668.0,provincia,Burgos
MANUEL,Male,11,Cáceres,21.365,‰,4118.0,provincia,Cáceres
MANUEL,Male,12,Cádiz,49.012,‰,30365.0,provincia,Cádiz
MANUEL,Male,13,Castellón/Castelló,21.789,‰,6659.0,provincia,Castellón/Castelló
MANUEL,Male,14,Ciudad Real,23.478,‰,,provincia,Ciudad Real
MANUEL,Male,15,Córdoba,53.521,‰,20266.0,provincia,Córdoba
MANUEL,Male,16,"Coruña, A",47.783,‰,,provincia,"Coruña, A"
MANUEL,Male,17,Cuenca,13.162,‰,1321.0,provincia,Cuenca
MANUEL,Male,18,Girona,11.146,‰,4585.0,provincia,Girona
MANUEL,Male,19,Granada,38.327,‰,17727.0,provincia,Granada
MANUEL,Male,20,Guadalajara,13.672,‰,1942.0,provincia,Guadalajara
MANUEL,Male,21,Gipuzkoa,8.939,‰,3185.0,provincia,Gipuzkoa
MANUEL,Male,22,Huelva,52.446,‰,13933.0,provincia,Huelva
MANUEL,Male,23,Huesca,12.992,‰,1507.0,provincia,Huesca
MANUEL,Male,24,Jaén,47.003,‰,14405.0,provincia,Jaén
MANUEL,Male,25,León,23.115,‰,5035.0,provincia,León
MANUEL,Male,26,Lleida,10.647,‰,2460.0,provincia,Lleida
MANUEL,Male,27,"Rioja, La",9.939,‰,,provincia,"Rioja, La"
MANUEL,Male,28,Lugo,53.692,‰,8468.0,provincia,Lugo
MANUEL,Male,29,Madrid,15.234,‰,51128.0,provincia,Madrid
MANUEL,Male,30,Málaga,24.574,‰,21309.0,provincia,Málaga
MANUEL,Male,31,Murcia,15.429,‰,12128.0,provincia,Murcia
MANUEL,Male,32,Navarra,6.844,‰,2299.0,provincia,Navarra
MANUEL,Male,33,Asturias,21.338,‰,10274.0,provincia,Asturias
MANUEL,Male,34,Palencia,11.373,‰,891.0,provincia,Palencia
MANUEL,Male,35,"Palmas, Las",12.801,‰,,provincia,"Palmas, Las"
MANUEL,Male,36,Pontevedra,46.685,‰,21350.0,provincia,Pontevedra
MANUEL,Male,37,Salamanca,25.111,‰,3985.0,provincia,Salamanca
MANUEL,Male,38,Santa Cruz de Tenerife,10.917,‰,,provincia,Santa Cruz de Tenerife
MANUEL,Male,39,Cantabria,19.709,‰,5643.0,provincia,Cantabria
MANUEL,Male,40,Segovia,10.776,‰,846.0,provincia,Segovia
MANUEL,Male,41,Sevilla,58.346,‰,56028.0,provincia,Sevilla
MANUEL,Male,42,Soria,10.867,‰,497.0,provincia,Soria
MANUEL,Male,43,Tarragona,14.207,‰,6117.0,provincia,Tarragona
MANUEL,Male,44,Teruel,23.229,‰,1594.0,provincia,Teruel
MANUEL,Male,45,Toledo,13.966,‰,5218.0,provincia,Toledo
MANUEL,Male,46,Valencia/València,15.307,‰,20289.0,provincia,Valencia/València
MANUEL,Male,47,Valladolid,12.609,‰,3222.0,provincia,Valladolid
MANUEL,Male,48,Bizkaia,9.363,‰,5248.0,provincia,Bizkaia
MANUEL,Male,49,Zamora,30.42,‰,2508.0,provincia,Zamora
MANUEL,Male,50,Zaragoza,13.164,‰,6367.0,provincia,Zaragoza
MANUEL,Male,51,Ceuta,16.708,‰,701.0,provincia,Ceuta
MANUEL,Male,52,Melilla,9.202,‰,398.0,provincia,Melilla
MANUEL,Male,53,Ourense,53.81,‰,7866.0,provincia,Ourense
MANUEL,Male,16473,Desconocido,22.428,‰,,provincia,Desconocido
JOSE,Male,2,Araba/Álava,8.91,‰,1485.0,provincia,Araba/Álava
JOSE,Male,3,Albacete,30.627,‰,5965.0,provincia,Albacete
JOSE,Male,4,Alicante/Alacant,23.229,‰,22876.0,provincia,Alicante/Alacant
JOSE,Male,5,Almería,28.0,‰,10895.0,provincia,Almería
JOSE,Male,6,Ávila,12.693,‰,1023.0,provincia,Ávila
JOSE,Male,7,Badajoz,28.331,‰,9319.0,provincia,Badajoz
JOSE,Male,8,"Balears, Illes",18.491,‰,,provincia,"Balears, Illes"
JOSE,Male,9,Barcelona,20.472,‰,58769.0,provincia,Barcelona
JOSE,Male,10,Burgos,8.191,‰,1473.0,provincia,Burgos
JOSE,Male,11,Cáceres,18.242,‰,3516.0,provincia,Cáceres
JOSE,Male,12,Cádiz,31.798,‰,19700.0,provincia,Cádiz
JOSE,Male,13,Castellón/Castelló,23.288,‰,7117.0,provincia,Castellón/Castelló
JOSE,Male,14,Ciudad Real,20.983,‰,,provincia,Ciudad Real
JOSE,Male,15,Córdoba,40.57,‰,15362.0,provincia,Córdoba
JOSE,Male,16,"Coruña, A",32.581,‰,,provincia,"Coruña, A"
JOSE,Male,17,Cuenca,17.217,‰,1728.0,provincia,Cuenca
JOSE,Male,18,Girona,18.666,‰,7678.0,provincia,Girona
JOSE,Male,19,Granada,35.482,‰,16411.0,provincia,Granada
JOSE,Male,20,Guadalajara,11.581,‰,1645.0,provincia,Guadalajara
JOSE,Male,21,Gipuzkoa,8.501,‰,3029.0,provincia,Gipuzkoa
JOSE,Male,22,Huelva,30.151,‰,8010.0,provincia,Huelva
JOSE,Male,23,Huesca,17.286,‰,2005.0,provincia,Huesca
JOSE,Male,24,Jaén,36.643,‰,11230.0,provincia,Jaén
JOSE,Male,25,León,17.812,‰,3880.0,provincia,León
JOSE,Male,26,Lleida,18.68,‰,4316.0,provincia,Lleida
JOSE,Male,27,"Rioja, La",8.339,‰,,provincia,"Rioja, La"
JOSE,Male,28,Lugo,45.303,‰,7145.0,provincia,Lugo
JOSE,Male,29,Madrid,12.319,‰,41345.0,provincia,Madrid
JOSE,Male,30,Málaga,27.919,‰,24210.0,provincia,Málaga
JOSE,Male,31,Murcia,36.388,‰,28602.0,provincia,Murcia
JOSE,Male,32,Navarra,7.517,‰,2525.0,provincia,Navarra
JOSE,Male,33,Asturias,14.084,‰,6781.0,provincia,Asturias
JOSE,Male,34,Palencia,8.361,‰,655.0,provincia,Palencia
JOSE,Male,35,"Palmas, Las",10.994,‰,,provincia,"Palmas, Las"
JOSE,Male,36,Pontevedra,30.985,‰,14170.0,provincia,Pontevedra
JOSE,Male,37,Salamanca,17.739,‰,2815.0,provincia,Salamanca
JOSE,Male,38,Santa Cruz de Tenerife,7.484,‰,,provincia,Santa Cruz de Tenerife
JOSE,Male,39,Cantabria,11.141,‰,3190.0,provincia,Cantabria
JOSE,Male,40,Segovia,8.483,‰,666.0,provincia,Segovia
JOSE,Male,41,Sevilla,33.917,‰,32569.0,provincia,Sevilla
JOSE,Male,42,Soria,10.146,‰,464.0,provincia,Soria
JOSE,Male,43,Tarragona,20.433,‰,8798.0,provincia,Tarragona
JOSE,Male,44,Teruel,20.81,‰,1428.0,provincia,Teruel
JOSE,Male,45,Toledo,13.187,‰,4927.0,provincia,Toledo
JOSE,Male,46,Valencia/València,27.247,‰,36115.0,provincia,Valencia/València
JOSE,Male,47,Valladolid,8.672,‰,2216.0,provincia,Valladolid
JOSE,Male,48,Bizkaia,8.952,‰,5018.0,provincia,Bizkaia
JOSE,Male,49,Zamora,22.693,‰,1871.0,provincia,Zamora
JOSE,Male,50,Zaragoza,11.81,‰,5712.0,provincia,Zaragoza
JOSE,Male,51,Ceuta,11.607,‰,487.0,provincia,Ceuta
JOSE,Male,52,Melilla,11.075,‰,479.0,provincia,Melilla
JOSE,Male,53,Ourense,43.72,‰,6391.0,provincia,Ourense
JOSE,Male,16473,Desconocido,21.057,‰,,provincia,Desconocido
